Name;name;formula;adduct;evidence;m/z;RT
Cluster_0379;;;;;138.0195969;5.351216413
Cluster_0380;;;;;138.0195986;5.682501048
Cluster_0381;;;;;139.01409;21.30567383
Cluster_0382;;;;;139.0162727;22.42711004
Cluster_0383;;;;;141.0458175;9.656342801
Cluster_0384;;;;;142.0504192;2.570198946
Cluster_0385;;;;;142.0619401;0.763925809
Cluster_0386;;;;;143.0080877;21.26515308
Cluster_0387;;;;;143.0342789;4.816171535
Cluster_0388;;;;;143.0704418;5.524930006
Cluster_0389;;;;;143.071535;5.9315061
Cluster_0390;;;;;144.0456243;7.648045372
Cluster_0391;;;;;144.0458395;7.887360888
Cluster_0392;;;;;144.0455567;5.127046141
Cluster_0393;;;;;144.0457997;10.00231092
Cluster_0394;;;;;144.0455694;4.975195731
Cluster_0395;;;;;144.045698;7.159490636
Cluster_0396;;;;;144.0675258;2.789047016
Cluster_0397;;;;;144.0664774;3.439129279
Cluster_0398;;;;;144.0664192;2.182379266
Cluster_0399;;;;;144.9239176;16.04803896
Cluster_0400;;;;;144.9238346;24.997
Cluster_0401;;;;;144.923702;22.22140017
Cluster_0402;;;;;145.0357397;1.18926
Cluster_0403;;;;;145.0502535;4.580787076
Cluster_0404;;;;;145.0500647;2.484069863
Cluster_0405;;;;;145.086478;5.521946751
Cluster_0406;;;;;145.0858091;7.097841926
Cluster_0407;;;;;145.0864415;5.947537714
Cluster_0408;;;;;145.0864415;5.947537714
Cluster_0409;;;;;146.0101946;20.07845397
Cluster_0410;;;;;146.0101965;20.61469021
Cluster_0411;;;;;146.0095831;24.86856452
Cluster_0412;;;;;146.046009;0.728922513
Cluster_0413;;;;;146.0819195;4.27581528
Cluster_0414;;;;;147.0299785;1.081223392
Cluster_0415;;;;;147.0300636;1.18926
Cluster_0416;;;;;147.0677477;1.624294995
Cluster_0417;;;;;147.0444689;6.866845777
Cluster_0418;;;;;147.0663165;2.974391801
Cluster_0419;;;;;147.0299785;1.081223392
Cluster_0420;;;;;147.0460819;3.586732338
Cluster_0421;;;;;147.0662213;2.211782723
Cluster_0422;;;;;147.0662254;2.647258967
Cluster_0423;;;;;147.04563;9.319437599
Cluster_0424;;;;;148.0624814;1.34324408
Cluster_0425;;;;;148.0624814;1.34324408
Cluster_0426;;;;;149.0475785;1.763289675
Cluster_0427;;;;;149.9942425;21.44640076
Cluster_0428;;;;;149.994233;21.67243838
Cluster_0429;;;;;149.9942638;21.7566382
Cluster_0430;;;;;149.9942034;21.80734712
Cluster_0431;;;;;149.9942737;21.96679119
Cluster_0432;;;;;149.994215;22.27825847
Cluster_0433;;;;;149.9941815;22.49540468
Cluster_0434;;;;;149.9935262;22.84981106
Cluster_0435;;;;;149.9939063;22.91779758
Cluster_0436;;;;;149.994077;23.04169122
Cluster_0437;;;;;149.994157;23.18615746
Cluster_0438;;;;;149.9940055;23.29794179
Cluster_0439;;;;;149.9942172;23.50855653
Cluster_0440;;;;;149.9941984;23.62552742
Cluster_0441;;;;;149.9942387;14.39712054
Cluster_0442;;;;;149.9941861;14.83845597
Cluster_0443;;;;;149.9941782;15.17318019
Cluster_0444;;;;;149.9942334;15.27010483
Cluster_0445;;;;;149.9942076;15.38760274
Cluster_0446;;;;;149.9943221;15.48780708
Cluster_0447;;;;;149.9943023;15.54760515
Cluster_0448;;;;;149.9943579;15.80048832
Cluster_0449;;;;;149.9942307;16.04554065
Cluster_0450;;;;;149.9938241;16.20690973
Cluster_0451;;;;;149.9942915;16.29115796
Cluster_0452;;;;;149.9943537;16.67944077
Cluster_0453;;;;;149.9940548;17.11836109
Cluster_0454;;;;;149.9943951;17.18549009
Cluster_0455;;;;;149.9943132;17.60520312
Cluster_0456;;;;;149.9943662;17.8930605
Cluster_0457;;;;;149.9941549;18.31484487
Cluster_0458;;;;;149.9941367;18.42865319
Cluster_0459;;;;;149.9943737;18.98378621
Cluster_0460;;;;;149.9942988;19.25543826
Cluster_0461;;;;;149.9942029;19.47430263
