Row,m.z,RT,Annotation.ID,formula,adduct,evidence,ms2_available,homol,network_annotation,network_formula,network_inputNode,network_layer,network_comment,key_fragments,mz_diff,seedNo
Cluster_3556,636.3157485,4.970981267,,C29H52NO12P,[M - H]-,MS2,Yes,yes,GPNAE(18:3)+C6H10O5,C29H52NO12P,Cluster_1856,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.05325830000004,1
Cluster_3557,636.3149533,3.682319494,,,,,Yes,yes,GPNAE(18:3)+C6H10O5,C29H52NO12P,Cluster_1856,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.05246309999995,1
Cluster_3558,636.3146851,3.978665767,,,,,Yes,yes,GPNAE(18:3)+C6H10O5,C29H52NO12P,Cluster_1856,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.05219490000002,1
Cluster_3561,636.3204887,3.615078688,,,,,No,yes,GPNAE(18:3)+C6H10O5,C29H52NO12P,Cluster_1856,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.05799850000005,1
Cluster_3788,660.3157336,4.953182316,,C31H52NO12P,[M - H]-,MS2,Yes,yes,GPNAE(20:5)+C6H10O5,C31H52NO12P,Cluster_2113,1_layer_mass,simil:NA; mzdiff:Hexose (C6H10O5); homol HSID:NA; homol RT:NA,NA,-162.05353010000005,1
Cluster_6250,786.3343413,0.735335519,,,,,No,no,GPNAE(16:3)+C12H20O11,C33H58NO18P,Cluster_1562,1_layer_mass,simil:NA; mzdiff:Disaccharide (+C12H20O11); homol HSID:NA; homol RT:NA,NA,-340.1033645,1
Cluster_7146,383.1473778,3.13792856,,,,,Yes,no,GPNAE(11:0)+-0.947,NA,Cluster_1071,1_layer_gnps,simil:0.8166; mzdiff:NA; homol HSID:NA; homol RT:NA,NA,-0.9471199000000183,8
Cluster_7153,387.2039124,3.327313389,,,,,No,yes,GPNAE(14:0)-37.037136,NA,Cluster_1359,1_layer_homol,simil:NA; mzdiff:NA; homol HSID:282; homol RT:97.4202,NA,37.042866100000026,1
Cluster_7167,394.2001208,4.206681178,,C17H34NO7P,[M-H]-,MS2,Yes,yes,GPNAE(11:0)+-12,C17H34NO7P,Cluster_1071,1_layer_gnps,simil:0.9646; mzdiff:NA; homol HSID:NA; homol RT:NA,NA,-11.999862899999982,18
Cluster_7209,418.1996863,4.279796349,,,,,Yes,yes,GPNAE(16:3)-28.0312905,NA,Cluster_1562,1_layer_homol,simil:NA; mzdiff:NA; homol HSID:203; homol RT:30.3031,NA,28.03129050000001,1
Cluster_7243,438.2256184,4.72222429,,,,,No,yes,GPNAE(12:0)+C2H2O,C19H38NO8P,Cluster_1165,1_layer_mass,simil:NA; mzdiff:Acetylation (+C2H2O); homol HSID:NA; homol RT:NA,NA,-42.00986849999998,6
Cluster_7256,444.2112613,3.241718061,,,,,No,no,GPNAE(11:0)+C5H2,C21H36NO7P,Cluster_1071,1_layer_mass,simil:NA; mzdiff:C5H2; homol HSID:NA; homol RT:NA,NA,-62.01100339999999,3
Cluster_7261,446.2339209,2.543816568,,,,,No,yes,GPNAE(14:2)+C2H2,C21H38NO7P,Cluster_1334,1_layer_mass,simil:NA; mzdiff:C2H2; homol HSID:NA; homol RT:NA,NA,-26.018376499999988,3
Cluster_7276,450.2257856,4.673315993,,,,,No,yes,GPNAE(14:2)+CH2O,C20H38NO8P,Cluster_1334,1_layer_mass,simil:NA; mzdiff:Deamination (+CH2O); homol HSID:NA; homol RT:NA,NA,-30.010241199999996,4
Cluster_7311,461.2902551,6.574652997,,,,,No,yes,GPNAE(14:0)+37.037136,NA,Cluster_1359,1_layer_homol,simil:NA; mzdiff:NA; homol HSID:282; homol RT:97.4202,NA,-37.04347660000002,1
